t U L S OS WN contrib U.sd L.sd S.sd OS.sd WN.sd contrib.sd
12 0.00635446618509949 0.00456091527520102 0.000757575757575765 0.529594291119141 0.530679302151773 0.00207100547580471 0.00754250526828478 0.00648818713255732 0.00269441194784769 0.0251378525105822 0.0248616780305268 0.0021576105910267
22 0.00972119615575067 0.0076487112339469 0.00101010101010102 0.551440644911646 0.553035212042575 0.00291072001715699 0.0106993839522299 0.00982068937940129 0.00306890717298084 0.0266954636789646 0.0263950974496922 0.00292983347887913
32 0.0135931065544322 0.0120356899788969 0.0022727272727273 0.571503369097788 0.573709309550541 0.00390613993556045 0.011090876951977 0.0119162026043812 0.00427173799763904 0.0307316485681633 0.0301087361635722 0.00313351754119947
42 0.0152030080990288 0.0125460003198405 0.00379303236446097 0.587482899417355 0.5895232687449 0.00347223931476726 0.0126503610047602 0.0113636825784646 0.00547114719357947 0.0305375860825122 0.0304740133550717 0.00277384713846717
52 0.0213618752855515 0.0167079823839959 0.00532895757490753 0.608978514805675 0.612371145033046 0.00557454195806551 0.0173472791190865 0.0107648535178852 0.00608559466258779 0.0317482224860184 0.0314382603141173 0.00372457396769761
62 0.0223775985764408 0.0222486034179905 0.00814822961361992 0.620683975965546 0.624838259188625 0.00670047653562527 0.0121191782286699 0.0105238632472275 0.00874242511517624 0.0302911846502684 0.0297473107874761 0.00381555168141669
72 0.0293906521716826 0.0248298687911451 0.0109834471901851 0.634349987978771 0.639141514416078 0.00752675468910431 0.0138018050836976 0.0119453449177981 0.00882760559261723 0.0224421338400483 0.0218729061848801 0.00438502961173935
82 0.0311275959073341 0.0318181625328752 0.0115208205192994 0.647590416845053 0.653313044430399 0.00880248297254705 0.0196982427029826 0.0176473061732907 0.0100253567341201 0.0270268171514379 0.0263927633236464 0.00514039716555658
92 0.038451415726861 0.035074560324216 0.0162206133182241 0.655924725367798 0.663006859205198 0.0108306665694312 0.0204556376715099 0.0177880064110045 0.0103788324042957 0.0398639292710667 0.038416264303153 0.00516810086171053
102 0.0470636397128373 0.0476217519841947 0.019435319273657 0.672193239638464 0.680661431834487 0.012573385647415 0.0198551428162842 0.0221889131167973 0.0123901905445802 0.0398635981282855 0.0385217385586959 0.00564251354005402
112 0.0567113468839383 0.0514538081360644 0.0245844891285841 0.684987140192381 0.694884517346912 0.014418485914556 0.0228108550011791 0.0217646267818936 0.0159462662105278 0.0395035120663728 0.0376708969213146 0.00586634540445693
122 0.0619973413104474 0.0628221388508442 0.0269078975880603 0.695427762901849 0.707314483032726 0.01697132455093 0.0278159511258966 0.0261800233013946 0.0171878736801439 0.0410618883624659 0.0393540975197122 0.00661138860079315
132 0.073829892274785 0.0657700221049622 0.0329331336916308 0.707884862517145 0.720969370941017 0.0183155805459894 0.0230107399177536 0.0262455451645011 0.0134707467202673 0.0460402168200399 0.0446217582021111 0.00671219599727964
142 0.0837731819444746 0.0783172006517285 0.0378875109528848 0.712485828548982 0.727672621430416 0.0210042532208074 0.0306718801508216 0.0231626111700423 0.0227655565579732 0.0423018014205987 0.0409604952806384 0.00717046823421022
152 0.0931531116969333 0.0885194586875532 0.0434108699514728 0.722319790022128 0.739718045651631 0.0237558898277195 0.025860359033161 0.0266156435610462 0.01870928434611 0.0433435762044269 0.0406165767653646 0.00906012500131042
162 0.0963075651783838 0.100319213787878 0.0544891372920229 0.736339663594825 0.755745646279181 0.0259025040754353 0.032313116709137 0.0339344819742101 0.0198759642100842 0.0421941577325739 0.0394094443842668 0.00918783870329647
172 0.103712832265273 0.114040950670946 0.0631360478433423 0.740588738019967 0.762480844234676 0.0289102707793695 0.0267838572143744 0.0360374420251388 0.0204307726111859 0.0438681221908665 0.0415549582434912 0.0106226535592103
182 0.108229423484419 0.117534789924638 0.0626924426107511 0.747398672292498 0.770298991850069 0.0300155907820711 0.0345148685581058 0.0305064323047362 0.0239646911415521 0.0465795632288698 0.0430902210948447 0.0116142382992256
192 0.1170958912446 0.126059707848754 0.069745501822618 0.759721122949246 0.783127946194287 0.0302866310331648 0.0355763112429823 0.0394001994394503 0.0255839037088935 0.0460700374455636 0.0405953102026754 0.0120135504299889
202 0.123064644150529 0.136874896631388 0.0701949562819386 0.774453912384802 0.799625716854936 0.0317285615702762 0.0373930964812745 0.0411758103847462 0.0243783456242556 0.0412724978837041 0.0371045586891158 0.0130029244392589
212 0.138370210602851 0.146168604543921 0.0780198624267052 0.775499468193595 0.804059165940112 0.0358609730604891 0.0423849191203051 0.0404912606290571 0.0253796248263366 0.0471665003446061 0.042736713798904 0.0125498678752731
222 0.159355637155564 0.149204094478211 0.0907296057140436 0.783713101067542 0.813673544372474 0.0372624762912516 0.0366371093664128 0.0379167059131801 0.0323413471085746 0.0514220386470772 0.0460646534629905 0.0129037202050246
232 0.170010937097078 0.151284511287102 0.0942720499028519 0.792743872039355 0.823494276609309 0.0376661861069451 0.0472087674187995 0.0405395281018297 0.0274771457966452 0.0439720236643849 0.0384742646863569 0.0143417328045641
242 0.166475001760044 0.181927620124323 0.106480760602284 0.796970130344272 0.830650450746456 0.0411543772088762 0.035819341468319 0.0449299977934399 0.0343341183422227 0.0530893824643038 0.0441970906395661 0.0172064495271827
252 0.190190186029255 0.189873318999206 0.114028434945967 0.790002335139627 0.827900728551641 0.0463280221035869 0.0544946926378239 0.0541214225063673 0.0371783282547443 0.053935397874967 0.0467520913425778 0.0171065269660707
262 0.198429525886525 0.195718469730427 0.115351821444696 0.80657678712454 0.84383667749369 0.0446420898316661 0.0546545373749825 0.0575770809352053 0.0401209657305308 0.0484096236384726 0.0402542891932074 0.0174317153672191
272 0.207188833383609 0.213740636861029 0.130745636544983 0.802243889028322 0.844753507709989 0.0514155937491411 0.0466572183243456 0.0511516616964144 0.0462040232642872 0.065493019437083 0.0523420483249976 0.0224791622309106
282 0.210479076596969 0.226505641469286 0.124542508810506 0.794850554420451 0.843997586942475 0.0595534418009672 0.0587637978518799 0.0660130297866513 0.0509471433100095 0.0665800140315659 0.047305453027332 0.0326796814970979
292 0.222642768546181 0.238298593036625 0.135789452011239 0.816975066826663 0.861365989113021 0.0526985760432299 0.0596302505581936 0.0563022615922101 0.0358884630653107 0.0685043967605811 0.0536958267477372 0.0248339160240444
