t U L S OS WN contrib U.sd L.sd S.sd OS.sd WN.sd contrib.sd
12 0.00506081220366939 0.0190111260349517 0.00203050917336632 0.465690583134269 0.468147845964722 0.00514876293988147 0.00615800704745195 0.0097457185978149 0.00532172601562547 0.0318530755592122 0.0327154271360343 0.00386870507603955
22 0.00762750586020103 0.0133299520502063 0.00253555967841684 0.485508700788376 0.487793759079495 0.00459876225028681 0.0073006046839824 0.0106665230128022 0.00559136121920637 0.0275107438076032 0.0282974719507228 0.00390979529201472
32 0.00917357883484541 0.0138354410147295 0.00050505050505051 0.496953903853411 0.499628216774196 0.00538887905300095 0.00869528563998456 0.0102325206964166 0.00225865452272708 0.0265004745424729 0.0262130941325833 0.00436744222921871
42 0.0175732814140226 0.0148768030396403 0.0020306154326773 0.52543874141965 0.528864153715998 0.00648642597658245 0.0127909812060533 0.00974207539760995 0.00416694040591183 0.0299071769054695 0.0298960302867814 0.00444026433095542
52 0.0166212594388705 0.0185169139796204 0.00304071644277832 0.543124668637574 0.546871594460296 0.00693777772308055 0.0115207933958496 0.0115175080113576 0.0047656341915421 0.0399520616808602 0.0394616600925994 0.00430640142571647
62 0.0287955956536017 0.0185825979228159 0.00354576694782883 0.563405131023419 0.568732397637506 0.00934378657493152 0.0143116230622041 0.0116664865503559 0.00495779230104839 0.0329236137420421 0.0333111120692104 0.00452519659222875
72 0.0341709147074042 0.0233840143016205 0.00920655948793306 0.57698600982922 0.582873634970148 0.0101839266831214 0.017262121768177 0.0136791531180272 0.00817598640866296 0.0282775045817216 0.0272331856808008 0.00626993959445762
82 0.0393291407501636 0.0257109382948496 0.0102579953700022 0.609535417469648 0.614820282690094 0.00861543830490334 0.0193670888107881 0.0153316196222184 0.00947679234987541 0.0326225180371565 0.0326297141579641 0.00358748227482208
92 0.0400352235130765 0.0339169427501161 0.0169912494338895 0.614012385491518 0.621135711271541 0.011522402488345 0.0239195654729825 0.0204995663905316 0.0113100195128303 0.0389588898512016 0.0385614045384254 0.00615070437907944
102 0.057539035291642 0.0479184921803935 0.0234798565843145 0.623598773331705 0.635128770211083 0.0182007064486509 0.0248283421628879 0.0197308514595259 0.0151471200472736 0.0321716425580755 0.0317130220395134 0.00792021407496455
