t sp li co sp.sd li.sd co.sd
7 49.925 755.225 0.303008667221991 0.266746782836918 54.3122442161514 0.0217567511720896
17 49.95 691.5 0.277194164931279 0.220721427863152 52.5444866462988 0.0215224167969839
27 49.9 637.25 0.255931232819658 0.3038218101251 48.5728371913821 0.0194584536369307
37 49.825 586 0.236069929196168 0.384807644254793 43.518342728626 0.0177220238829337
47 49.65 542.55 0.22018943453104 0.533493565673837 38.733772449958 0.016869792941513
57 49.575 497.875 0.202556760449928 0.594310632754562 34.4630515636228 0.013216838848802
67 49.275 460.275 0.189852625070862 0.750640751932333 34.66394528273 0.0175071836451372
77 49.25 421.5 0.173831681078561 0.742483704388218 31.6276412700614 0.0133083387327132
87 49.075 386.775 0.160637081293709 0.971055465948634 31.0512293823263 0.0126689505260325
97 48.7 356.025 0.150087898638698 0.966091783079296 29.5361469111828 0.0113044449816239
107 48.275 328.45 0.141047249495416 1.0618682133693 27.9431198816086 0.0124993705733448
117 47.875 300.9 0.131229458283411 1.13651514141549 25.2949777117098 0.00923639907774374
127 47.625 275.925 0.121815659974438 1.39021304399445 23.907286197587 0.0114005376672544
137 46.975 256.575 0.116364858409806 1.54401242189769 22.7887595999116 0.00999948046125169
147 46.525 235.125 0.108888066145178 1.85344447185677 22.8890159526803 0.0115249370770327
157 45.65 217.75 0.104617633056921 1.91552362794897 21.565344944241 0.00967101923573942
167 45.125 200.95 0.0989358225906463 1.72741840877489 20.2939298743144 0.0109706385639411
177 44.675 186 0.0934415731437356 1.95313685893836 19.2886309014218 0.0104580500971706
187 43.625 173.225 0.0912796791021638 1.9959895688541 17.1486524849996 0.00954009257165356
197 43.85 162.075 0.0845105050573187 2.08228178590157 18.5795414091511 0.00998874378894428
207 43.225 150.35 0.0805641343567257 1.95444923056901 16.4839471250217 0.00794781082493761
217 42.9 139.375 0.0759036932197349 2.04813861710378 15.8546078394765 0.00879573548264104
227 41.875 131.225 0.0751200709533043 2.36629646797669 15.9959730509323 0.00962694531193412
237 40.55 121.175 0.073977377226248 2.58149231339211 15.3871199884339 0.00941423213950725
247 40.275 113.525 0.0701007837851023 2.51138433578998 14.7038936060993 0.00812448150015144
257 39.65 107.05 0.0684442277669751 2.55754289133646 12.8321511276988 0.0089137494257485
267 39.1 100.425 0.0662736821204142 2.65832027165025 11.5022573035436 0.00985571070210437
277 38.35 93.725 0.0640570266772462 2.4863731180278 10.5999213833563 0.00781918378670103
287 38.075 89.4 0.0621494243994827 2.85897148441847 11.9631914102362 0.00906318873133072
297 37.1 83.2 0.0611820704913569 3.11159947326954 9.62688542971833 0.00948379905112949
307 36.7 80.125 0.0600430104728202 2.8840854214029 10.5979860205752 0.0093302004942332
317 36.25 76.55 0.0591102899147618 3.27186922188651 9.26794862927454 0.0102393776306002
327 36.7 72.725 0.0542827146537072 3.12311481598838 10.6409646275668 0.00698597408970428
337 35.5 69.9 0.0564311234628968 3.74165738677394 10.6741960605219 0.0105708121958051
347 35.925 66.725 0.0521338918871534 3.132849116977 10.1576988611519 0.00789007497586957
357 34.425 64.625 0.0548824473612659 3.07085138115282 9.13625491359309 0.00723438232892562
367 34.425 61.975 0.052928511065988 2.9775872180384 8.71923161752227 0.00911567149734336
377 33.625 60.05 0.0537737383934503 3.05242652529225 8.35417905555703 0.00882747455436072
387 33.9 58.975 0.052377811982823 3.2486683662458 7.9015983452879 0.0109114960602327
397 34.325 57.75 0.0497260404163798 2.74924231986439 7.85036337555181 0.00950963577856493
407 33.725 57.15 0.0509206579364669 2.55189723287978 6.39531078212779 0.00886370891909956
417 33.775 55.675 0.0497106275260945 2.84188002056421 6.60375767155454 0.00986832121257072
427 33.025 54.3 0.0503347858342735 2.70315580055077 7.64333126460661 0.00870698079817067
437 32.65 52.8 0.0500954581215497 2.76006317281846 7.2931298898171 0.00837564649083154
447 32.525 51.875 0.049383228504132 2.57191438227317 6.4577026160178 0.00663708333635006
457 32.4 50.225 0.0485765152307135 3.06175749764069 6.65827998117324 0.00883704707179953
467 31.825 49.7 0.049572294426106 2.63007750690121 6.2108259494498 0.00723583674151032
477 33.025 48.925 0.0455635363712768 3.29325262020891 6.19920383639127 0.00794427453963492
487 32.45 48.25 0.0463822529248296 2.48017782654431 6.14253768655669 0.00814787759492298
497 31.65 47.025 0.0475993583692135 2.61700553089174 5.47950727711899 0.00816599928178369
507 31.7 45.6 0.0460544430980922 2.91943092452569 5.7726143923769 0.00822278444505076
517 31.225 46 0.0476148032757555 2.39108922717403 6.00854092959049 0.00744966077767074
